"","EUKAP2_00000006","EUKAP2_00000026","EUKAP2_00000031","EUKAP2_00000019","EUKAP2_00000044","EUKAP2_00000005","EUKAP2_00000051","EUKAP2_00000069","EUKAP1_00000108","EUKAP2_00000018","EUKAP2_00000042","EUKAP2_00000002","EUKAP1_00000028","EUKAP2_00000189","EUKAP1_00000034","EUKAP2_00000017","EUKAP1_00000069","EUKAP1_00000305","EUKAP2_00000186","EUKAP1_00000465","EUKAP1_00000536","EUKAP300000541","EUKAP1_00000186","EUKAP1_00000156","EUKAP1_00000177","EUKAP2_00000074","EUKAP1_00001000","EUKAP1_00000225","EUKAP2_00000246","EUKAP2_00000030","EUKAP2_00000022","EUKAP1_00000039","EUKAP2_00000125","EUKAP1_00000676","EUKAP1_00000072","EUKAP2_00000154","EUKAP1_00000459","EUKAP2_00000193","EUKAP1_00000329","EUKAP1_00000033","EUKAP1_00001012","EUKAP2_00000240","EUKAP2_00000191","EUKAP1_00000522","EUKAP2_00000530","EUKAP2_00000095","EUKAP1_00000082","EUKAP1_00000206","EUKAP1_00001406","EUKAP1_00000011","EUKAP1_00001616","EUKAP1_00000092","EUKAP2_00000195","EUKAP300002053","EUKAP1_00001538","EUKAP1_00001949","EUKAP1_00000145","EUKAP1_00000188","EUKAP1_00000560","EUKAP1_00000598","EUKAP1_00000190","EUKAP1_00001516","EUKAP1_00000085","EUKAP2_00000109","EUKAP300000070","EUKAP1_00000101","EUKAP1_00000129","EUKAP1_00000043","EUKAP1_00003304","EUKAP2_00002016","EUKAP1_00000916","EUKAP2_00000670","EUKAP1_00000326","EUKAP1_00001471","EUKAP1_00001769","EUKAP1_00001961","EUKAP1_00001111","EUKAP1_00001411","EUKAP1_00008425","EUKAP2_00010875","EUKAP300005273","EUKAP1_00002420","EUKAP1_00002617","EUKAP1_00000434","EUKAP1_00005382","EUKAP300002647","EUKAP1_00016976","EUKAP2_00000251","EUKAP1_00009728","EUKAP1_00013009","EUKAP2_00006487","EUKAP300006653","EUKAP1_00001258","EUKAP1_00002171","EUKAP2_00001865","EUKAP300002640","EUKAP2_00004825","EUKAP2_00016502","EUKAP2_00003459","EUKAP1_00000128","EUKAP2_00005315","EUKAP2_00001784","EUKAP1_00005518","EUKAP1_00010297","EUKAP2_00002133","EUKAP1_00057446","EUKAP2_00044418","EUKAP300018830","EUKAP300156660","EUKAP300243013","EUKAP300021552","EUKAP300050198","EUKAP1_00392433","EUKAP301198149","EUKAP300118644","EUKAP300121790"
"X_10",0.300682103937376,0,0.0385029499507358,0,0.000576342544316548,0,0.0220787125859414,0,0.0315758127478334,0.00385943383813201,0,0.0122913524086913,0.0193641251338474,0.18697183191908,0,0,0.00211657446597096,0,0.00540352057730849,0.00147713079598919,0,0,0.000697588601690069,0,0.000169964755609904,0,0.0117737485068175,0,0,0.00144777223039707,0.00858690718800596,0.00260655791193897,0.000484433541276646,0.00983986915923298,0.00274496134908701,0.0021032719037185,0,0.00130769521733823,0.00130991948146647,0,0.000520972564953933,0.00484713187637063,7.69543761351276e-05,0,0.00383395160132045,0.00087695807951339,0.00288061134514787,0,0.00137801982360562,0,0,0.000855373682740877,0.00151362679714949,0,0,0.000370940141464231,0.00166810774889567,7.64036879176906e-05,3.21120066792974e-05,0,0,0,2.43593491181916e-05,0,0.000682083286567857,0,0,0,0.000117369728592968,4.87186982363831e-05,0,0,0,0,0,0,0,0.00360921057708236,0,0,0.000109617071031862,0,0,0,0,0,0,0,0.00181650961899156,0,0,0,0,0,0,0,0,0,0,0.000157234392833371,0,0,0,0,0,0.000156683704615934,0,0,0,0,0,0,0,0,0,0
"X_11",0.154405859031851,0,0.00748733432618865,0,0.00813460051146723,0,0.0311614601228861,0,0.1204763753066,0.00290672250281902,0,0.0349715383847887,0.00999419696758457,0.0348123399258659,0,0,0.0215617675618191,0,0.00783183707080318,0.00177803049925378,0,0,0.00155191384985833,0,0.000322996601979592,0,0.0168585179368248,0,0,0.00259606117147382,0.00577663247898812,0.00187365269392972,0.000192479138240856,0.0279222074903838,0.00226647045475973,0.00188300923947792,0.000101595042161942,0.00129658184585032,0.0014435668088856,0.000742730495878243,0.000280361500214354,0.00200554756722251,0.000154701786718501,0,0.00230571424675716,0.00110149054916644,0.00249570848990645,0,0.00094979049655335,0,0.000680529518084416,0.000265900289425957,0.00139958491829114,0,0,0.00100949896755001,0.00148521407675918,0.000123167206698684,0,0,0,0,0,0,5.63477819536813e-05,0,0,0,9.10037477247673e-05,0,0,0,0,0,0,0,0,0.00359649652651139,0,0.000434314756332902,0,0,0,0,0,0,0,0,0,0,3.14149283739633e-05,0,0,0,0,0,0,0,0,3.54044963710391e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.04716427913211e-05,0,0,0
"X_12",0.202775227214013,0,0.00245517329949606,0,0.00827307742656236,0,0.0116709831007021,0,0.0274886932237688,0.00507731090374377,0,0.0349961366551777,0.0104729464211778,0.012288665802884,0,0,0.000217464227645905,0,0.00691470852789517,0.000951797258010692,0,0,4.09701737135365e-05,0,4.72768532526475e-05,0,0.0026347974499073,0,0,0.00277349791318637,0.00687060825770276,0.00170192023051394,9.4553706505295e-05,0.00182165416859431,0.00174602050070635,0.00105896432359421,0,0.000182800733471479,0.00105896432359421,0.00226919598296434,8.19403474270731e-05,0.00130796194893567,0,0,0.00222504922619056,0.000135523880218832,0.000989637335245357,0,0.000318324613690311,0,0,0.00498598026688008,0.00231960293269586,0,0,4.72768532526475e-05,0.00190041793296114,0,0,0,8.19403474270731e-05,0,0,0,0,0,0,0,4.72768532526475e-05,0.000598809150145955,0,0,0,0,0,0,0,0.00630646260173123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09701737135365e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_14",0.352392869420557,0,0.00874069038537409,0,0.0386339272677027,0,0.0556207376420542,0,0.0798908090488286,0.00916831503708375,0,0.0328083181794258,0.0152290319204288,0.0317857230260109,0,0,0.0163328015522104,0,0.00980203195536761,0.00471399524491483,0,0,0.00187034870156314,8.24011700966154e-05,0.000226603217765692,0.00595650296500128,0.0033382615150569,0,0,0.00475069415467597,0.00641577257071015,0.00209700150172358,0.000459013546850774,0.00676414741900148,0.0043012293647418,0.00359313260058714,0,0.00223288325613616,0.000498384007279798,0.015477472529005,0.00106308981051226,0.00288383918673629,2.06002925241538e-05,0,0.00398217224913103,0.00107978194182409,0.000993829308824923,0,0.00159498610984476,0,0.000476507143362969,0.000164802340193231,0.0038099690010223,0,2.06002925241538e-05,0.000228433342384975,0.0045647683080337,0,0,0,0,0,0,0,0,0,0,0,0,0.00010397091809842,0,0,0,0.000247203510289846,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000144202047669077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104346859501227,0,0,0,0,0,0,0,0,0,0
"X_15",0.319944196862119,0,0.00349654842160882,0,0.063680508816803,0,0.0211196627799169,0,0.0476943110119347,0.00614045324611221,0,0.0384907755768968,0.0105463470122043,0.0144182778009378,0,0,0.0162388113141451,0,0.0148927747945574,0.00455555575850407,0,0,0.0143505947290596,0,0,0,0.00168830971053315,0,0,0.00356799974330761,0.00694193054895698,0.00310925633746849,0.000651430225316792,0.00597527150914729,0.00797258701216333,0.00259726996990042,0,0.00223494559474436,0.000681623923246463,0.000130992926381975,0.00100491858399014,0.00446190096418216,0,0,0.00673234186674582,0.00160748604534723,0.00187661633224157,0,0.00137792179986968,0,0.00172027061175936,0.000667410675929899,0.00604541633360973,0,0,0.00063322186534695,0.00359819344123728,0.000310387910663464,0,0,0,0,0,0,0.00044760385905545,0,0,0,2.22034726231183e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154043004560653,0,0,0,0,0,0,0,2.61985852763951e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_17",0.262805556083216,0,0.00252368168901457,0,0.119618499141356,0,0.0343937519448545,0,0.0334386987478233,0.00146216130611362,0,0.0135195802072358,0.00532449592289302,0.00676902783039768,0,0,0.0191367545081714,0,0.0135519631702104,0.00366708703194879,0,0,0.00630545967144647,0,5.26094276094276e-05,0,0.000116527064788219,0,0,0.00400277059804441,0.00677651512807544,0.007189300478278,0.000269218181388916,0.00568121257122205,0.00761939702152003,0.00439245511178517,0,0.00385854145659169,0.000157144401309384,0,0.000160913804499172,0.00423729916068253,4.3370776770612e-05,0,0.00303219408049573,0.000772419503946741,0.00133989026378082,0,0.00231009122423412,0,0.000249687283921077,0.00133102717003738,0.00424178024071104,0,3.94570707070707e-05,0.000262507559401992,0.0146015071423772,2.87695483066548e-05,0,0,0,0,0,0,0.000233342735323945,0,0,0,5.7827702360816e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00112101029687114,0,0,0,0,0,0,0,2.63047138047138e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8913851180408e-05,0,0,0
"X_18",0.286933880563268,0,0.0011850425470886,0,0.106539057217433,0,0.0155589527510529,0,0.0468681570593924,0.00123024585296473,0,0.0139818972432817,0.0074289754553625,0.00305982970612449,0,0,0.0516098521786891,0,0.0116809504020767,0.00348991210032469,0,0,0.0453504999685421,0,0,0,0.00083506215564731,0,0,0.00445584906139317,0.00777077702090243,0.00321845491379127,0.000345264449042153,0.00130490217255463,0.00825841361923711,0.0046416070860882,0,0.000212846120567884,0.000123051265000703,0.0280562594973912,9.14474189740113e-05,0.0034072642076682,0,0,0.00725217782887233,0.00115667455962561,0.000493748583055912,0,0.00191011485657479,0,0,0.00478683747307611,0.00276166603976598,0,0,0.000250452910962079,0.00220144574167327,0.000115267496684001,0,0,0,0,0,0,0,0,0,0,6.4263222157959e-05,0,0,0,0,0,0,0,0,0,0.0327449221932618,0,3.21316110789795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_19",0.18442293090801,0,0.00221357131074373,0,0.0884364481684311,0,0.0784196949081554,0,0.0347198918057605,0.0011658841848989,0,0.0298076943325546,0.00733370458807687,0.00818165705187076,0,0,0.00353843013059822,0,0.0138235397345919,0.00309410020836283,0,0,0.0328935407524226,0,0,0,0.000326115314375163,0,0,0.0041417697854015,0.00712986935498778,0.00472471187785095,0.000456578988931383,0.00177327176432187,0.00731737249914888,0.00308593416389883,0,0,0.00042803293091971,0.0520410665462429,0.000330198336607161,0.00410100975830614,0,0,0.00273943883597599,0.000782694303306546,0.000851982839607421,0,0.0011618011626669,0,0,0.000199752210857095,0.00337130699998479,0,0,0.000130446125750065,0.00327755542790424,0,0,0,0,0,0,0,9.78345943125489e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379124408166512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_2",0.125301022921743,9.47687642153146e-05,0.00692949668906274,0,0.0481370218106793,0,0.021484193764321,0,0.0231187964031759,0.00161316868620497,0,0.0232094643624186,0.0418605065825174,0.0195470732565211,0,0,5.48789820817394e-05,0,0.00665768997956784,0.0025945456109745,0,0,0.0733059705613349,0,0.00114899199418105,0,0.000738327349248023,0,0,0.00314172424361645,0.0066869356199104,0.0011757480177265,0.002564078704709,5.48789820817394e-05,0.0031152124732556,0.00271743733372612,0,0.00604176584670225,0.014951593786166,0,0.000359252292386765,0.00412471235656143,3.15895880717715e-05,0,0.00186266301442825,0.00394161958083258,0.000783294949092516,0,0.000543712003106477,0,0,0.00157489009224684,0.00901846322182098,0,0,0.000219515928326958,0.00116744782366469,4.65787880199357e-05,0.000189537528430629,0,6.31791761435431e-05,0,0.000493910838735655,0,5.48789820817394e-05,0,0,0,0.00123248244116827,0.0116532885371816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_20",0.150723807581275,0,0.0100894381732385,0,0.123480950744887,0,0.175637145585855,0,0.0678754603683582,0.000454770028523488,0,0.0352075944098982,0.00403051004971786,0.00850256571727088,0,0,0.0385985924875558,0,0.0102944142162681,0.00293066083870444,0,0,0.110001487689054,0,0,0,0.000804773269289306,0,0,0.00254710162870913,0.00638534623787013,0.00897192985270462,0.000724243929927802,0.000349938665883949,0.00550063064188587,0.00229828131565922,0,0.000811157149087976,0.000415287252884361,0.0539581851951323,0.000185360702001043,0.00226550997622835,0,0,0.00249979875592429,0.00103945612651994,0.00031221455970315,0,0.001441710692036,6.43718115837075e-05,1.97413878195637e-05,0.00021239895966788,0.00342198058085994,0,0,0.000157540550292581,0.00199017110753927,0.000177608705007972,0,0,0,0,9.56447273269581e-05,0,3.21859057918538e-05,0.0312424329471807,0,0,0,0.000283808184841912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64580920143765e-05,0,0,0.000112650670271488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66791760487032e-05,0,0,0
