"","name","replicate","sample_id","animal_id"
"X_10",NA,NA,"X_10","X"
"X_11",NA,NA,"X_11","X"
"X_12",NA,NA,"X_12","X"
"X_14",NA,NA,"X_14","X"
"X_15",NA,NA,"X_15","X"
"X_17",NA,NA,"X_17","X"
"X_18",NA,NA,"X_18","X"
"X_19",NA,NA,"X_19","X"
"X_2",NA,NA,"X_2","X"
"X_20",NA,NA,"X_20","X"
"X_21",NA,NA,"X_21","X"
"X_23",NA,NA,"X_23","X"
"X_24",NA,NA,"X_24","X"
"X_25",NA,NA,"X_25","X"
"X_26",NA,NA,"X_26","X"
"X_27",NA,NA,"X_27","X"
"X_28",NA,NA,"X_28","X"
"X_29",NA,NA,"X_29","X"
"X_3",NA,NA,"X_3","X"
"X_30",NA,NA,"X_30","X"
"X_31",NA,NA,"X_31","X"
"X_33",NA,NA,"X_33","X"
"X_34",NA,NA,"X_34","X"
"X_35",NA,NA,"X_35","X"
"X_36",NA,NA,"X_36","X"
"X_37",NA,NA,"X_37","X"
"X_38",NA,NA,"X_38","X"
"X_39",NA,NA,"X_39","X"
"X_41",NA,NA,"X_41","X"
"X_42",NA,NA,"X_42","X"
"X_44",NA,NA,"X_44","X"
"X_50",NA,NA,"X_50","X"
"X_51",NA,NA,"X_51","X"
"X_53",NA,NA,"X_53","X"
"X_54",NA,NA,"X_54","X"
"X_56",NA,NA,"X_56","X"
"X_57",NA,NA,"X_57","X"
"X_59",NA,NA,"X_59","X"
"X_60",NA,NA,"X_60","X"
"X_63",NA,NA,"X_63","X"
"X_64",NA,NA,"X_64","X"
"X_65",NA,NA,"X_65","X"
"X_66",NA,NA,"X_66","X"
"X_68",NA,NA,"X_68","X"
"X_70",NA,NA,"X_70","X"
"X_74",NA,NA,"X_74","X"
"X_75",NA,NA,"X_75","X"
"X_76",NA,NA,"X_76","X"
"X_77",NA,NA,"X_77","X"
"X_78",NA,NA,"X_78","X"
"X_79",NA,NA,"X_79","X"
"X_80",NA,NA,"X_80","X"
"X_9",NA,NA,"X_9","X"
"Y_1",NA,NA,"Y_1","Y"
"Y_13",NA,NA,"Y_13","Y"
"Y_14",NA,NA,"Y_14","Y"
"Y_18",NA,NA,"Y_18","Y"
"Y_2",NA,NA,"Y_2","Y"
"Y_21",NA,NA,"Y_21","Y"
"Y_23",NA,NA,"Y_23","Y"
"Y_24",NA,NA,"Y_24","Y"
"Y_25",NA,NA,"Y_25","Y"
"Y_28",NA,NA,"Y_28","Y"
"Y_29",NA,NA,"Y_29","Y"
"Y_3",NA,NA,"Y_3","Y"
"Y_31",NA,NA,"Y_31","Y"
"Y_32",NA,NA,"Y_32","Y"
"Y_33",NA,NA,"Y_33","Y"
"Y_34",NA,NA,"Y_34","Y"
"Y_38",NA,NA,"Y_38","Y"
"Y_39",NA,NA,"Y_39","Y"
"Y_4",NA,NA,"Y_4","Y"
"Y_40",NA,NA,"Y_40","Y"
"Y_41",NA,NA,"Y_41","Y"
"Y_42",NA,NA,"Y_42","Y"
"Y_43",NA,NA,"Y_43","Y"
"Y_5",NA,NA,"Y_5","Y"
"Y_50",NA,NA,"Y_50","Y"
"Y_51",NA,NA,"Y_51","Y"
