"","EUKAP2_00000006","EUKAP2_00000044","EUKAP1_00000108","EUKAP2_00000018","EUKAP2_00000002","EUKAP1_00000028","EUKAP2_00000186","EUKAP1_00000465","EUKAP1_00000186","EUKAP1_00000177","EUKAP2_00000030","EUKAP2_00000022","EUKAP1_00000039","EUKAP1_00000072","EUKAP2_00000154","EUKAP1_00000459","EUKAP2_00000193","EUKAP1_00000329","EUKAP1_00000033","EUKAP1_00001012","EUKAP2_00000240","EUKAP2_00000191","EUKAP2_00000530","EUKAP2_00000095","EUKAP1_00000206","EUKAP1_00000011","EUKAP1_00000092","EUKAP1_00001538","EUKAP1_00000188","EUKAP2_00001219","EUKAP1_00000190","EUKAP2_00000008","EUKAP1_00000085","EUKAP2_00000474","EUKAP1_00003256","EUKAP300000070","EUKAP2_00001065","EUKAP2_00001127","EUKAP1_00000357","EUKAP1_00000701","EUKAP1_00003304","EUKAP2_00002016","EUKAP1_00000811","EUKAP1_00000713","EUKAP2_00000971","EUKAP2_00001304","EUKAP1_00000035","EUKAP1_00000326","EUKAP1_00001471","EUKAP1_00000406","EUKAP1_00001769","EUKAP1_00000362","EUKAP1_00004847","EUKAP2_00001858","EUKAP2_00001291","EUKAP1_00000529","EUKAP2_00002179","EUKAP1_00000828","EUKAP2_00012119","EUKAP1_00000738","EUKAP1_00001887","EUKAP2_00022484","EUKAP1_00001587","EUKAP2_00003841","EUKAP1_00002171","EUKAP1_00000777","EUKAP1_00008737","EUKAP1_00002035","EUKAP1_00005032","EUKAP2_00000709","EUKAP1_00000169","EUKAP1_00004792","EUKAP1_00020370","EUKAP2_00001740","EUKAP2_00009458","EUKAP2_00003831","EUKAP1_00023690","EUKAP2_00022266","EUKAP2_00010014","EUKAP1_00057446","EUKAP2_00045451","EUKAP300018830","EUKAP1_00064447","EUKAP2_00070726","EUKAP300156660","EUKAP300243013","EUKAP1_00194237","EUKAP300050198","EUKAP1_00392433","EUKAP301198149","EUKAP300118644","EUKAP300121790"
"X_10",0.715038353017302,0.0014187067946766,0.0748803285391682,0.00932094309321797,0.0309090057796883,0.046019521950804,0.012498653533656,0.00306090670381117,0.0018188425373486,0.000410147561198947,0.00333635779543184,0.0193717450046778,0.00580815201931955,0.0069042323559036,0.00523057269745832,9.23680594622023e-05,0.00275076406532619,0.00297358797603961,0,0.00102253021253089,0.0118504951800945,0.000368728658125979,0.00930352869893877,0.00242072256260535,0,0,0.00209717186066872,0,0.00013420566203005,0.0034876963939403,0,0.00339219733060404,6.04267449407986e-05,0.00575537137996805,0.00250669137262535,0.00182646693172432,0,0.0029840619164886,0.000666672161342675,0.00110259284858184,0.000397423438292814,8.39062660967163e-05,0.00017386519019411,0,0.000949285525417027,0.000586306356277355,0.00011573205013761,0,0,3.94501784166195e-05,0,0.00148812956295828,0,0.000244628633889813,0.000281250977446744,0.00078907567638574,0.000964009326530631,0,4.46654374275368e-05,0.00042319656433303,0.00134909638786107,0,0,0,0,0.000181374054089326,0,0.00042340591408047,0,0,0,2.36888709033577e-05,0.000305474078325492,0,0,0,0,0,0,0.00028959724033172,0,0,0,2.36888709033577e-05,0,0,0,0,0,0,0,0
"X_11",0.405317092060329,0.0213318198646331,0.316372453906192,0.00763928422568221,0.0919177718786604,0.0262608115796917,0.0205921486865403,0.00465828139366682,0.00409278093259119,0.000848680918073994,0.00681406087293576,0.0151216821718685,0.00492077924725948,0.00597114420360846,0.00495522424230792,0.000261116103645611,0.00338059920070261,0.00378060444844937,0.00195316526490846,0.00073527721726549,0.00527184148638605,0.000402270374670374,0.00603399735891897,0.00287212938505413,0,0,0.000696675510348167,0,0.000326958545780983,0.0047694199675517,0,0.00433539006584378,0,0.00258464446113931,0.0117023335092009,0.000149603987782362,0,0.00169685200114978,0.000649624086673245,0.00160668007873803,0.000241305415188739,0,0,4.70514236749212e-05,0.00328196609950553,0.000793179777641475,0,0,0,0.000166503421297558,0,0.000790778357698009,0,0,0.000495863387022006,0.00015805370453996,2.77505702162596e-05,0,0.000587564814428383,0.000363158832754841,0.00260496498459439,0,0,2.77505702162596e-05,0,0.00010255256410744,0,0,0,0,0,0,5.55011404325192e-05,0.000111002280865038,0,0,0,0,0,0,0,0,4.70514236749212e-05,4.70514236749212e-05,0,0,0,0,2.77505702162596e-05,0,0,0
"X_12",0.593291787632173,0.0295554645895756,0.079461272515744,0.0152913020870705,0.105727558625393,0.0296380600404422,0.0203036996511351,0.00577219854878618,0.00025486809788851,9.85176119219573e-05,0.00759801760491572,0.022985581364892,0.0055579624364184,0.00511792917069955,0.00382765643519229,0,0.000609416945444856,0.0044766125648875,0.00544772552644325,0.00050973619577702,0.00489248369972608,5.89960117904744e-05,0.00583422678672343,0.000333911298151476,0,0,0.0169252659939061,0,0,0.0032655337876036,0.000273752148615122,0.00759048358574582,0,0.0026471634225693,0.00415455373863073,5.89960117904744e-05,0,0.00104243621645067,0.00203656575525968,0.000745129882006538,0.000334501659083855,0.00317873547373483,0.00023364018755126,0,0.00511792917069955,0.000999407618962669,5.89960117904744e-05,0,0,0,0,0.000334501659083855,0,7.78800625170867e-05,0.00113860996876199,0,0,0,0.00092385383193734,0.000275505647293381,0.000707934557366814,0,0,0,0,0,0,0,0.000997654120284411,0,0,0,0.000235984047161898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_14",0.579838567007668,0.0635427630778475,0.131342947124308,0.0150421851839265,0.0539526717033466,0.025087441830698,0.0161408354866451,0.0077723129239938,0.00308569027306255,0.00036613038238265,0.00782376959907224,0.0105716810697253,0.00345030698693909,0.00707752393371498,0.00591029824067225,0,0.0036496547460084,0.000816885326482837,0.0254705946852801,0.00175686605839129,0.00473166276794828,3.32845802166046e-05,0.00655391609161547,0.00177871074823848,0,0,0.000266276641732837,3.32845802166046e-05,0,0.00454773722968289,0,0.00339991983705378,0,0.00188361202090261,0.00303435029156161,0,0,0.00143596883489731,0.000235066566912821,0.000276341595073294,0,0.000171693585657159,0.000103049919827361,0.000277463268854253,0.00126458282288263,0.00170030970271071,3.43218329148989e-05,0,0.000399414962599255,0,0,0.00050406297201539,0,9.98537406498137e-05,0.000473805728811004,0.000514519920080998,0,0,0.000133138320866418,0.000334920307562634,0.00106392250996738,0,0,0,0,0,0,0.000858045822872473,0,0,0,0,0.000651499678098108,0,0,0,0,0,0,0.000173291675245933,0,0,0.000332845802166046,0,0,0,0,0,0,0,0,0
"X_15",0.566986900966605,0.0938263564881359,0.0843198925043244,0.00991817889403246,0.0653376638224913,0.0190385564102915,0.0270307366334431,0.00770860326789246,0.0238857742948182,0,0.00584374267105699,0.0124176017286782,0.00459274934779888,0.0112735378596921,0.00421890379577203,0,0.00306474449649128,0.00151213647835647,0.00014971657196958,0.0014539846240728,0.00759320756081406,0,0.0113361078787099,0.00277414135624557,0,0,0.00118099681555343,0,0.000354475138677914,0.00469665423242341,0,0.00409117198317868,0,0.00308016203158534,0.00232807306991595,0.000509911854796024,0,0.00450642550643863,0.000836194699278926,0.000370764122447736,2.50986803448387e-05,0,0.000345673564950269,0,0.00106605600775579,0.000960824775174725,0,0,0,7.5296041034516e-05,0,0.00179305441192771,0.00583624713816744,0,0.000896097573761501,0.000169970618265341,0,0,0,0.00106695182497367,0.00055130358033437,0,0,0,0,0.000360203405673815,0,0.000385298024594968,5.98866287878319e-05,0,0,2.50986803448387e-05,0.000119773257575664,0,0,0,0,0,0,0,0,0,0,2.50986803448387e-05,0,0,0,0,0,0,0,0
"X_16",0.634187426141081,0.0957054039180978,0.0695438841091791,0.00227726611902079,0.0151626193653783,0.00810237703373754,0.0136684082151371,0.00698227581009041,0.0176494755785841,0.000168515141208595,0.0057569874156947,0.00921805888002837,0.00406732258845102,0.00838049872305101,0.00638545961239497,0,0.000569265517741892,0.000551133791759895,0.00938729617564843,0.000168515141208595,0.00380302325801504,0,0.00382135903205026,0.0015576171860523,0,0,0.0231332468437792,0,0.000200375188266648,0.00357078802269034,0,0.00452287623903676,0,0.00225893034498557,0.000787976480043761,0,0,0.00176259982727811,0.000901892395253142,0,0,0,0,0,0.000200375188266648,0.00107040753646174,0,0,0,0,0,0.00218168597784663,0,0.00060573301775911,0.000100187594133324,0.0394937139338515,0,0,0,0.000400750376533297,0.00169427228020284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X_17",0.507504860186982,0.230624414455043,0.064526197175196,0.0028234905785549,0.0261223460495968,0.0102740138488769,0.0261641299117867,0.0070880283700647,0.0121470202814628,0.000101805946785551,0.00773257926971471,0.0130903858421803,0.0138662033944519,0.0146665334939345,0.00849097506373598,0,0.00743354450299839,0.000304334016858029,0,0.000311441483593134,0.0081897559722479,8.24477657031461e-05,0.00585965917728075,0.00148607420675345,0,0,0.00256092930537047,7.63544600891631e-05,5.59793382565526e-05,0.00504651275251472,0,0.00425271339031477,0,0.00420788982439056,0.00189924919512555,0.000447840265310589,0,0.00298649433284487,0.00121835856744049,0.000307379279850478,0.000109930354270861,0,0,0,0.000645286411261121,0.0012702729223253,3.05278515601649e-05,0,0,0.000319635553455946,0,0.00225652006687677,0,0.000137412942838577,0.000725705854722024,0.000254447984215459,5.59793382565526e-05,0,0.000536378556998634,0,0.000716567286115591,5.09029733927754e-05,0,2.74825885677154e-05,0,0.000164895531406292,0,0.000103837048656878,0,0,0,0,0.000243278313737699,0.000318548950328238,0,0,0,0,0,0,0,0,0,2.74825885677154e-05,0,0,0,0,5.49651771354307e-05,0,0,0
"X_18",0.456509046237738,0.169633128665533,0.0745855898596559,0.00196142067361138,0.0222650896550622,0.011753184039999,0.0185671499857439,0.00552533446669236,0.0719225518953296,0,0.00705760748896982,0.0123207043114967,0.00509698820447722,0.0131169598384034,0.00740365517008471,0,0.000333812043650912,0.000191465013637866,0.0446974865962678,0.000143693741459446,0.00541512651961681,0,0.0115417397133546,0.00182643560169876,0,0,0.00758726344609067,0,0.000181616569318477,0.00760946379516015,0,0.00566601337381697,0,0.00348976082531002,0.00255071261897618,0,0,0.00145962495234851,0.000888113296789801,0.000350691271424768,0.000106150838524602,0,9.57325068189328e-05,0,0.000762389807598545,0.00812442219365672,0.000183847368585373,0,0,0,0,0.0115533733075267,7.430898180957e-05,7.96131288934513e-05,0.000790654153600282,0.000159226257786903,0.00214962237697016,0,4.28470500187255e-05,0.000440342807099701,0.00119723850515227,0,0,0,0,0,0,0,0.00155175538339548,0,0,0,0.000248497868537648,0.000757085660514664,0,0,0,0,0,0,0,0,0,0,0,0,3.14619317908445e-05,0,0,0,0,0
"X_19",0.372429151264833,0.181060451692465,0.0701117330644225,0.00205538847823644,0.0625966582037501,0.0138177499928279,0.0269360964316162,0.00662595069348604,0.064681456931573,0,0.00694568324242154,0.0137391619368114,0.0100318566515566,0.0140678944159482,0.00634702232027651,0,7.69524923370786e-05,0.00107130023833643,0.0976366671827606,0.000748231689078996,0.00712165568348058,0,0.00526833546888799,0.00154396180105809,0,0,0.000458553192687056,0,0,0.00567853416036672,0,0.00472803245884898,0,0.00403468054244404,0.00401597659618947,0.000130687318414741,0,0.00321553627868876,0.000699583056304374,0.000432260884585488,0,0,0.000238729443868265,0,0.00204099123991368,0.000933515175157762,0.000119364721934132,0,0,0,0,0.00357469353487242,0.000175111099472684,5.96823609670662e-05,0.00116744729401115,8.20386856401198e-05,0.00141442469251787,0,0.000212726004054861,0.000115428738505618,0.000467575369418611,4.35624394715805e-05,0,0,0,0.000307809969348314,0,3.84762461685393e-05,0,0.000179047082901198,0,0.000119364721934132,0.000304648208012899,0,0,0,0,0,0,0,0,3.84762461685393e-05,0,0,0,0,5.96823609670662e-05,0,0,0,0,0
"X_2",0.292433575688602,0.116927051210825,0.0530446103596173,0.00380326060174078,0.0540568023208473,0.0954045531142245,0.0150770305636225,0.00433731623194092,0.165527728239156,0.00309786898249555,0.00725101435886088,0.0147033760701855,0.00232681931880681,0.00825967269891546,0.00618641854029307,4.2244039696994e-05,0.0138262878160964,0.0325724464262471,0,0.000806734455192002,0.00880486502540255,0.000133889420789136,0.00486249980082653,0.00903913778785025,0,0,0.00450635520225298,0,0.000240109129073865,0.00675240611245832,0.00014104672248729,0.00653140905822181,0.00144061507399474,0.00430133281117796,0.00247384382535622,8.49678265380925e-05,0,0.00219790848734314,0.000511765648253428,0.00563830723550786,0.00282431006411239,0.0299120395312976,0.000779064742687595,0.000155621049679877,0.00322180122463377,0.00132941677638455,0.000282832915914964,0,0,0.00156904615831431,0,0.00205516279962725,0.000856395520383429,0,0.000771167970049057,0.00408307361735516,0,0,0.00161966671779395,0.00190319940420084,0.000261101287024222,0,0,0,0,8.4488079393988e-05,0,0,0,0,0.000487375559845884,4.94013413951479e-05,0.000289510470469013,4.2244039696994e-05,0,0,0,3.55664851429446e-05,0,0,0,0,0,4.2244039696994e-05,0,0,0,0,0,0,0,0
