sample_id,animal_id,Sample_number,Date,Sample_time,times_from_birch,Fed_biomass,Animal_id,pellets,count
X_10,X,10,26/01/18,11:05:00,62,20,9/10,1427,0.9999999999999999
X_11,X,11,26/01/18,16:34:00,67,20,9/10,1427,1.0000000000000002
X_12,X,12,26/01/18,22:00:00,73,20,9/10,1427,1
X_14,X,14,27/01/18,09:00:00,84,20,9/10,1485,1
X_15,X,15,27/01/18,16:06:00,91,20,9/10,1485,1
X_16,X,16,27/01/18,23:59:00,99,20,9/10,1485,1
X_17,X,17,28/01/18,06:00:00,105,20,9/10,1499,1
X_18,X,18,28/01/18,11:32:00,110,20,9/10,1499,1
X_19,X,19,28/01/18,16:37:00,115,20,9/10,1499,1
X_2,X,2,24/01/18,08:16:00,11,20,9/10,787,1
X_20,X,20,28/01/18,00:00:00,99,20,9/10,1499,1
X_21,X,21,29/01/18,06:00:00,129,20,9/10,1500,1
X_22,X,22,29/01/18,10:38:00,133,20,9/10,1500,1
X_23,X,23,29/01/18,16:25:00,139,20,9/10,1500,1
X_24,X,24,29/01/18,23:57:00,147,20,9/10,1500,1
X_25,X,25,30/01/18,03:00:00,150,500,9/10,1481,1
X_26,X,26,30/01/18,11:58:00,159,500,9/10,1481,1
X_27,X,27,30/01/18,14:21:00,161,500,9/10,1481,1.0000000000000002
X_28,X,28,30/01/18,23:55:00,171,500,9/10,1481,0.9999999999999998
X_29,X,29,31/01/18,05:56:00,177,500,9/10,1470,0.9999999999999997
X_3,X,3,24/01/18,17:00:00,20,20,9/10,787,1
X_30,X,30,31/01/18,11:55:00,183,500,9/10,1470,0.9999999999999999
X_31,X,31,31/01/18,16:07:00,187,500,9/10,1470,1
X_33,X,33,01/02/18,03:01:00,198,500,9/10,1486,1
X_34,X,34,01/02/18,09:21:00,204,500,9/10,1486,1
X_35,X,35,01/02/18,16:28:00,211,500,9/10,1486,1
X_36,X,36,01/02/18,23:57:00,219,500,9/10,1486,1.0000000000000002
X_37,X,37,02/02/18,03:01:00,222,500,9/10,1498,1.0000000000000002
X_38,X,38,02/02/18,08:42:00,228,500,9/10,1498,1
X_39,X,39,02/02/18,16:24:00,235,500,9/10,1498,1
X_4,X,4,24/01/18,22:27:00,25,20,9/10,787,0.9999999999999999
X_41,X,41,03/02/18,11:34:00,254,2000,9/10,1498,1
X_42,X,42,03/02/18,20:02:00,263,2000,9/10,1498,1.0000000000000002
X_44,X,44,04/02/18,22:14:00,289,2000,9/10,1000,1
X_50,X,50,07/02/18,19:25:00,358,2000,9/10,1500,1
X_51,X,51,08/02/18,09:30:00,372,NA,9/10,1500,1.0000000000000002
X_53,X,53,09/02/18,11:10:00,398,NA,9/10,1500,0.9999999999999999
X_54,X,54,09/02/18,19:00:00,406,NA,9/10,1500,1
X_56,X,56,10/02/18,19:06:00,430,NA,9/10,1500,1.0000000000000002
X_57,X,57,11/02/18,18:58:00,454,NA,9/10,1500,1
X_59,X,59,12/02/18,18:58:00,478,NA,9/10,1500,1
X_60,X,60,13/02/18,11:55:00,495,NA,9/10,1500,1.0000000000000002
X_63,X,63,14/02/18,12:50:00,520,NA,9/10,1700,0.9999999999999998
X_64,X,64,15/02/18,10:23:00,541,NA,9/10,2000,0.9999999999999999
X_65,X,65,16/02/18,09:51:00,565,NA,9/10,2000,1
X_66,X,66,17/02/18,09:53:00,589,NA,9/10,2000,1
X_68,X,68,19/02/18,12:51:00,640,NA,9/10,NA,0.9999999999999999
X_70,X,70,21/02/18,13:22:00,688,NA,9/10,NA,1.0000000000000002
X_74,X,74,22/01/18,19:33:00,-25,NA,9/10,1437,0.9999999999999999
X_75,X,75,02/03/18,14:55:00,906,NA,9/10,NA,1
X_76,X,76,06/03/18,15:20:00,1002,NA,9/10,NA,0.9999999999999999
X_77,X,77,09/03/18,15:08:00,1074,NA,9/10,NA,1
X_78,X,78,16/03/18,14:50:00,1242,NA,9/10,NA,1
X_79,X,79,20/03/18,14:38:00,1337,NA,9/10,NA,1
X_80,X,80,23/03/18,14:22:00,1409,NA,9/10,NA,1
X_9,X,9,26/01/18,03:25:00,54,20,9/10,1427,0.9999999999999997
Y_1,Y,1,22/01/18,11:26:00,-34,NA,10/10,1128,1
Y_11,Y,11,26/01/18,16:38:00,67,20,10/10,1140,1
Y_13,Y,13,27/01/18,06:00:00,81,20,10/10,972,1.0000000000000002
Y_14,Y,14,27/01/18,08:50:00,84,20,10/10,972,1
Y_18,Y,18,28/01/18,11:54:00,111,20,10/10,1213,1
Y_21,Y,21,29/01/18,06:00:00,129,500,10/10,1212,1
Y_23,Y,23,29/01/18,14:14:00,137,500,10/10,1212,1
