sample_id,Animal_ID,Sample_number,Date,Sample_time,times_from_birch,Fed_biomass
X_1,X,1,24/01/18,03:12,0,20
X_2,X,2,24/01/18,08:16,5,20
X_3,X,3,24/01/18,17:00,14,20
X_4,X,4,24/01/18,22:27,19,20
X_5,X,5,25/01/18,03:15,24,20
X_6,X,6,25/01/18,11:00,32,20
X_7,X,7,25/01/18,17:10,38,20
X_8,X,8,25/01/18,23:17,44,20
X_9,X,9,26/01/18,03:25,48,20
X_10,X,10,26/01/18,11:05,56,20
X_11,X,11,26/01/18,16:34,61,20
X_12,X,12,26/01/18,22:00,67,20
X_13,X,13,27/01/18,06:00,75,20
X_14,X,14,27/01/18,09:00,78,20
X_15,X,15,27/01/18,16:06,85,20
X_16,X,16,27/01/18,23:59,93,20
X_17,X,17,28/01/18,06:00,99,20
X_18,X,18,28/01/18,11:32,104,20
X_19,X,19,28/01/18,16:37,109,20
X_20,X,20,28/01/18,00:00,93,20
X_21,X,21,29/01/18,06:00,123,20
X_22,X,22,29/01/18,10:38,127,20
X_23,X,23,29/01/18,16:25,133,20
X_24,X,24,29/01/18,23:57,141,20
X_25,X,25,30/01/18,03:00,144,500
X_26,X,26,30/01/18,11:58,153,500
X_27,X,27,30/01/18,14:21,155,500
X_28,X,28,30/01/18,23:55,165,500
X_29,X,29,31/01/18,05:56,171,500
X_30,X,30,31/01/18,11:55,177,500
X_31,X,31,31/01/18,16:07,181,500
X_32,X,32,31/01/18,23:58,189,500
X_33,X,33,01/02/18,03:01,192,500
X_34,X,34,01/02/18,09:21,198,500
X_35,X,35,01/02/18,16:28,205,500
X_36,X,36,01/02/18,23:57,213,500
X_37,X,37,02/02/18,03:01,216,500
X_38,X,38,02/02/18,08:42,222,500
X_39,X,39,02/02/18,16:24,229,500
X_40,X,40,02/02/18,19:50,233,500
X_41,X,41,03/02/18,11:34,248,2000
X_42,X,42,03/02/18,20:02,257,2000
X_43,X,43,04/02/18,10:31,271,2000
X_44,X,44,04/02/18,22:14,283,2000
