sample_id,Animal_ID,Sample_number,Date,Sample_time,times_from_birch
X_1,X,1,24/01/2018,03:12,0
X_2,X,2,24/01/2018,08:16,5
X_3,X,3,24/01/2018,17:00,14
X_4,X,4,24/01/2018,22:27,19
X_5,X,5,25/01/2018,03:15,24
X_6,X,6,25/01/2018,11:00,32
X_7,X,7,25/01/2018,17:10,38
X_8,X,8,25/01/2018,23:17,44
X_9,X,9,26/01/2018,03:25,48
X_10,X,10,26/01/2018,11:05,56
X_11,X,11,26/01/2018,16:34,61
X_12,X,12,26/01/2018,22:00,67
X_13,X,13,27/01/2018,06:00,75
X_14,X,14,27/01/2018,09:00,78
X_15,X,15,27/01/2018,16:06,85
X_16,X,16,27/01/2018,23:59,93
X_17,X,17,28/01/2018,06:00,99
X_18,X,18,28/01/2018,11:32,104
X_19,X,19,28/01/2018,16:37,109
X_20,X,20,28/01/2018,00:00,93
X_21,X,21,29/01/2018,06:00,123
X_22,X,22,29/01/2018,10:38,127
X_23,X,23,29/01/2018,16:25,133
X_24,X,24,29/01/2018,23:57,141
X_25,X,25,30/01/2018,03:00,144
X_26,X,26,30/01/2018,11:58,153
X_27,X,27,30/01/2018,14:21,155
X_28,X,28,30/01/2018,23:55,165
X_29,X,29,31/01/2018,05:56,171
X_30,X,30,31/01/2018,11:55,177
X_31,X,31,31/01/2018,16:07,181
X_32,X,32,31/01/2018,23:58,189
X_33,X,33,01/02/2018,03:01,192
X_34,X,34,01/02/2018,09:21,198
X_35,X,35,01/02/2018,16:28,205
X_36,X,36,01/02/2018,23:57,213
X_37,X,37,02/02/2018,03:01,216
X_38,X,38,02/02/2018,08:42,222
X_39,X,39,02/02/2018,16:24,229
X_40,X,40,02/02/2018,19:50,233
X_41,X,41,03/02/2018,11:34,248
X_42,X,42,03/02/2018,20:02,257
X_43,X,43,04/02/2018,10:31,271
X_44,X,44,04/02/2018,22:14,283
X_45,X,45,05/02/2018,11:16,296
X_46,X,46,05/02/2018,19:23,304
X_47,X,47,06/02/2018,08:42,318
X_48,X,48,06/02/2018,19:28,328
X_49,X,49,07/02/2018,09:28,342
X_50,X,50,07/02/2018,19:25,352
X_51,X,51,08/02/2018,09:30,366
X_52,X,52,08/02/2018,19:15,376
X_53,X,53,09/02/2018,11:10,392
X_54,X,54,09/02/2018,19:00,400
X_55,X,55,10/02/2018,10:13,415
X_56,X,56,10/02/2018,19:06,424
X_57,X,57,11/02/2018,18:58,448
X_58,X,58,12/02/2018,09:17,462
X_59,X,59,12/02/2018,18:58,472
X_60,X,60,13/02/2018,11:55,489
X_61,X,61,13/02/2018,19:05,496
X_62,X,62,14/02/2018,09:24,510
X_63,X,63,14/02/2018,12:50,514
X_64,X,64,15/02/2018,10:23,535
X_65,X,65,16/02/2018,09:51,559
X_66,X,66,17/02/2018,09:53,583
X_67,X,67,18/02/2018,09:56,607
X_68,X,68,19/02/2018,12:51,634
X_69,X,69,20/02/2018,08:16,653
X_70,X,70,21/02/2018,13:22,682
X_71,X,71,22/02/2018,12:33,705
X_72,X,72,22/01/2018,14:15,-37
X_73,X,73,22/01/2018,16:00,-35
X_74,X,74,22/01/2018,19:33,-31
X_75,X,75,02/03/2018,14:55,900
X_76,X,76,06/03/2018,15:20,996
X_77,X,77,09/03/2018,15:08,1068
X_78,X,78,16/03/2018,14:50,1236
X_79,X,79,20/03/2018,14:38,1331
X_80,X,80,23/03/2018,14:22,1403
Y_1,Y,1,22/01/2018,11:26,-37
Y_2,Y,2,24/01/2018,06:10,6
Y_3,Y,3,24/01/2018,13:30,13
Y_4,Y,4,24/01/2018,22:48,23
Y_5,Y,5,25/01/2018,03:19,27
Y_6,Y,6,25/01/2018,08:10,32
Y_7,Y,7,25/01/2018,13:01,37
Y_8,Y,8,25/01/2018,21:21,45
Y_9,Y,9,26/01/2018,03:21,51
Y_10,Y,10,26/01/2018,09:00,57
Y_11,Y,11,26/01/2018,16:38,64
Y_12,Y,12,26/01/2018,22:00,70
Y_13,Y,13,27/01/2018,06:00,78
Y_14,Y,14,27/01/2018,08:50,81
Y_15,Y,15,27/01/2018,14:35,86
Y_16,Y,16,27/01/2018,22:00,94
Y_17,Y,17,28/01/2018,06:00,102
Y_18,Y,18,28/01/2018,11:54,108
Y_19,Y,19,28/01/2018,16:43,113
Y_20,Y,20,28/01/2018,22:00,118
Y_21,Y,21,29/01/2018,06:00,126
Y_22,Y,22,29/01/2018,09:13,129
Y_23,Y,23,29/01/2018,14:14,134
Y_24,Y,24,29/01/2018,23:59,144
Y_25,Y,25,30/01/2018,03:22,147
Y_26,Y,26,30/01/2018,07:44,152
Y_27,Y,27,30/01/2018,14:30,158
Y_28,Y,28,30/01/2018,23:55,168
Y_29,Y,29,31/01/2018,02:45,171
Y_30,Y,30,31/01/2018,11:58,180
Y_31,Y,31,31/01/2018,16:12,184
Y_32,Y,32,31/01/2018,23:56,192
Y_33,Y,33,01/02/2018,03:00,195
Y_34,Y,34,01/02/2018,08:32,200
Y_35,Y,35,01/02/2018,13:43,206
Y_36,Y,36,01/02/2018,22:00,214
Y_37,Y,37,02/02/2018,06:01,222
Y_38,Y,38,02/02/2018,08:45,225
Y_39,Y,39,02/02/2018,16:29,232
