"","FF_EUKA_00000003","FF_EUKA_00000002","FF_EUKA_00000010","FF_EUKA_00000034","FF_EUKA_00000054","FF_EUKA_00000006","FF_EUKA_00000209","FF_EUKA_00000025","FF_EUKA_00000026","FF_EUKA_00000845","FF_EUKA_00002644","FF_EUKA_00001334","FF_EUKA_00001013","FF_EUKA_00000240","FF_EUKA_00000245"
"FF1_SS1",2.55452314194839e-05,0.0019894202920491,1.02864611629585e-05,0.862409161486473,0,0.0452409762870781,0.00570227351152969,0,0.0464914185084455,0,0,0.0207347094027872,0,0.0173962088190552,0
"FF1_SS2",5.6516635326502e-05,0.00275517722343867,6.79861951266532e-05,0.835754339236956,0,0.0826580580321215,0.00706258368774165,0,0.0342222503456912,0,0,0.0207351077378525,0,0.0166879809057456,0
"FF1_SS3",1.65631985226837e-05,0.00271282389659204,0,0.835594485863213,0,0.0800628676133205,0.00592094669368711,0,0.034621306839725,1.65631985226837e-05,0,0.0224783563482984,0,0.0185760863481188,0
"FF2_SS1",0.752999514861818,0,0.216302736212783,0,0.0210534452391879,0,0.00133328351206688,0.00774455103091759,0,0,0,4.63163572119239e-05,0,0,0.000520152786014567
"FF2_SS2",0.665306724062199,0,0.29527667671119,0,0.0302442219561413,0,0.00249623001064323,0.00613543740318241,0,0,0,3.35023422963174e-05,0,0,0.000507207514348232
"FF2_SS3",0.649688048736014,0,0.315324723011853,0,0.0191886270315882,0,0.00120611337497475,0.0112667676660789,0,0,0,7.28511399939488e-05,0,0,0.00325286903949735
"FF3_SS1",0.714038441423615,0,0.233718984335241,0,0.0423115832728157,0,0.00217587373301496,0.00606466050750773,0,0,0,0.000118267256819626,0,0,0.00157218947098549
"FF3_SS2",0.753643496681209,0,0.203099130682534,0,0.0332781521885467,0,0.00137059740118421,0.00746939586102502,0,0,0,0,0,0,0.00113922718550099
"FF3_SS3",0.69972820551615,0,0.240981165063959,0,0.0313510864240873,0,0.00150147508217007,0.00889326332091226,0,0,0,4.35261779887329e-05,0,0,0.017501278414732
"FF4_SS1",0.808075784191832,0,0.163733722428377,0,0.0177327508728325,0,0.000922022442128858,0.00914058419034587,0,0,0,3.89283672886988e-05,0,0,0.000356207507195107
"FF4_SS2",0.754756595458635,0,0.20870331995368,0,0.0233335180712446,0,0.000980925540771503,0.0116751384641867,0,0,0,1.92061336377789e-05,0,0,0.000531296377844714
"FF4_SS3",0.759056129394001,0,0.1990816846607,0,0.0334122394469419,0,0.00197375158300354,0.00598046831360336,0,0,0,7.81960911568136e-05,0,0,0.000417530510593662
"FF5_SS1",0.689364268713194,0,0.219665738047004,0,0.0812911905092725,0,0.00138087363499767,0.00769450986282367,0,0,0,8.72189323844699e-05,0,0,0.000516200300322826
"FF5_SS2",0.657195640551719,0,0.272492404153592,0,0.0569011349482037,0,0.0010946726058298,0.011721845814366,0,0,0,3.95898099221118e-05,0,0,0.000554712116367512
"FF5_SS3",0.725362363606174,0,0.239195286188529,0,0.0228524431447761,0,0.00195896697368547,0.00956447149794274,0,0,0,4.94592849237696e-05,0,0,0.00101700930396872
"FF6_SS1",1.27982953427682e-05,0.924051602497456,0,0,0,0,0.0156109072969083,0,5.15491705868082e-05,2.9511351444295e-05,0,0.000440816937234815,0.0598028144510271,0,0
"FF6_SS2",2.4913496414867e-05,0.983823491245863,0,0,0,0,0.0158016256231157,0,9.96539856594679e-05,1.50661663287511e-05,0,0.000220183316289476,1.50661663287511e-05,0,0
"FF6_SS3",2.16798591542066e-05,0.983639360374846,0.000336942992779522,0,0,0,0.0153462803178735,0,6.63395683691746e-05,0.000189549124984394,0,0.000325918241313795,7.39295206798913e-05,0,0
"FF7_SS1",0.666725164326067,0,0.298737852537986,0,0.0247357564794011,0,0.00132310818232113,0.00817008031064742,0,0,0,4.49250116280783e-06,0,0,0.000303545662414664
"FF7_SS2",0.690287806251464,0,0.260529668676595,0,0.037173401589789,0,0.001276045419926,0.0103365991217001,0,0,0,5.05305825901364e-05,0,0,0.000345948357935669
"FF7_SS3",0.710752100473008,0,0.246152151428077,0,0.029766220135152,0,0.00138322467974727,0.0115733065956966,0,0,0,0,0,0,0.00037299668831913
"FF8_SS1",1.55816488405357e-05,0.923740884006327,0,0,0,0,0.02212385470094,0,0.00104381385062506,0.0274791322905377,0.0221239597700366,0.00114436252125148,0.00116825788511019,0.00116015332633118,0
"FF8_SS2",0,0.922950157048632,0,0,0,0,0.0223390364995475,0,0.00171758246760701,0.0273085996416109,0.0234593146393373,0.0010409823189941,6.83508645233732e-05,0.00111597651974756,0
"FF8_SS3",6.78740211439404e-06,0.938867727246418,0,0,0,0,0.0243882353653682,0,0.00185501028370952,0.0258102888111913,0.00630208406507211,0.00135472058362849,0.000537927053227926,0.000877219189270267,0
