"","FF_FUNGI_00000035","FF_FUNGI_00000005","FF_FUNGI_00000008","FF_FUNGI_00000249","FF_FUNGI_00000077","FF_FUNGI_00000014","FF_FUNGI_00000028","FF_FUNGI_00000018","FF_FUNGI_00000072","FF_FUNGI_00000010","FF_FUNGI_00000080","FF_FUNGI_00000003","FF_FUNGI_00000037","FF_FUNGI_00000386","FF_FUNGI_00000290","FF_FUNGI_00000185","FF_FUNGI_00000254","FF_FUNGI_00000441","FF_FUNGI_00000272","FF_FUNGI_00000013","FF_FUNGI_00000297","FF_FUNGI_00000275","FF_FUNGI_00000341","FF_FUNGI_00000096","FF_FUNGI_00000039","FF_FUNGI_00000012","FF_FUNGI_00000153","FF_FUNGI_00000001","FF_FUNGI_00000225","FF_FUNGI_00000178","FF_FUNGI_00000506","FF_FUNGI_00000075","FF_FUNGI_00001214","FF_FUNGI_00000408","FF_FUNGI_00001358","FF_FUNGI_00000809","FF_FUNGI_00000252","FF_FUNGI_00000257","FF_FUNGI_00000372","FF_FUNGI_00000462","FF_FUNGI_00001558","FF_FUNGI_00000350","FF_FUNGI_00000092","FF_FUNGI_00003293","FF_FUNGI_00000607","FF_FUNGI_00001054","FF_FUNGI_00000159","FF_FUNGI_00000425","FF_FUNGI_00004261","FF_FUNGI_00002725","FF_FUNGI_00000680","FF_FUNGI_00001746","FF_FUNGI_00000423","FF_FUNGI_00002115","FF_FUNGI_00000167","FF_FUNGI_00000165","FF_FUNGI_00001014","FF_FUNGI_00001855","FF_FUNGI_00000356","FF_FUNGI_00000803","FF_FUNGI_00001352","FF_FUNGI_00002221","FF_FUNGI_00003876","FF_FUNGI_00001477","FF_FUNGI_00003669","FF_FUNGI_00001265","FF_FUNGI_00002973","FF_FUNGI_00000477","FF_FUNGI_00001024","FF_FUNGI_00000861","FF_FUNGI_00007485","FF_FUNGI_00000169","FF_FUNGI_00003522","FF_FUNGI_00020953"
"FF1_SS1",0,3.82141463742678e-05,0,0,0.464813946518438,0,0,0,0,0,0,0,0,0,0.209293528254128,0,0.00049045183379893,0,0,0,0,0,0,0,0,0.0640169293023211,0.0445614610694971,0,0,0,0,0,0,8.29579486158466e-06,0,0,0.0557888049489079,0.000133914160241074,0,0.017671600797742,0,0,0,0,0,0,0,8.29579486158466e-06,0,0.0141594844757419,0.0284805390402664,0,0,0,0.0129639246164923,0,0.0136431958930703,0.0260134455340134,0,0,0.019517156185305,8.29579486158466e-06,0.00804865199138728,0.0203398638476896,0,0,0,0,0,0,0,0,0,0
"FF1_SS2",0,4.99376944289396e-05,0,0,0.513076035681628,1.07450626437152e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183592666835461,0,0.0541080333682117,0.0677965648759861,0,0,0,0,0,0,0,0.00171791438799884,0,0,0,0,0.0166258089434066,0,0,0,0,0,0,0,0.048502429467268,0,0.0214017825836962,0,0,0,0,0.0156110627607863,0,0.0146299468016887,0,0,0,7.83852635704488e-06,0,0.015040280536457,0,0.0261040050315172,0,0,0.0211517350126699,0,0,0,0,0,0
"FF1_SS3",0,2.66269796249662e-05,0,0,0.461738965804315,0,0,0,0,0,0,0,0,0,0.207752297922235,0,0.00201058431896618,0,0,0,1.5263214127631e-05,0,1.5263214127631e-05,0,0,0.0615570565042032,0.0636768704345721,0,0,0,0,0,0,0,0,0,0.0402657640889205,0,0,0.0273677140529808,0,0,0,0,0,0,0,0,0,0.0191288059737639,0.0247197824540611,0,0,0,0.0194774433058142,0,0.0163245872505125,0.0161901513999707,0,0,0.0190365299756393,0,0.0105186811824777,0.0101776119236873,0,0,0,0,0,0,0,0,0,0
"FF2_SS1",0.191114451789682,0.133705961649293,0.14729461224569,0,0,0.094972267304623,0,0.0764666371809835,0,0.043961124485752,0.0447200228596796,0.0469071539847814,0.0317673176925396,0.020676813375123,0,0.0396774803462857,0,0,0.0233273365071954,0.0120716065685934,0,0.0208718392647558,0,0,0.00739515016636521,0,0,0.0111275069336226,0.000143029049196628,0.010196883333455,0.00372693626493301,0.00569408444491692,0.00604025764289604,0,0,0.00538865298470207,0,0.0023973771569749,0,0.000847584197214906,0.00421372939996458,0,0,0,0,0.0032178838312416,0.00714501558144786,0,0.00339208089629677,0,0,0,0,0,0,0,0,0,0,0.000415548386115784,0,0,0,0,0,0,0.000521512092435393,0,0.000602142383243951,0,0,0,0,0
"FF2_SS2",0.379819151772864,0.120602805874441,0.104679617295457,0,0,0.0905156662378666,0,0.0406755330883181,0,0.0350719857191704,0.0509235846460931,0.0174280756660109,0.028006455632853,0.0251558161245568,0,0.0117019223820186,0,0,0.0124429437573046,0.00707421363146398,0,0.0112644204928255,0,0,0.0108272044297426,0,0,0.00665540877231917,0.000191846746252141,0.00942739476469933,0.00177862279635247,0.00310123722420369,0.00516604547995459,0,0,0.00266842514546548,0,0.00548870530934747,0,0.000575540238756423,0.00204703091580478,0.0112376115698511,0,0,0,0.00238819722450579,0,0,0.00163399304435852,0,0,0,0,0,0,0,0,0,0,0.000188867977032771,0,0,0,0,0,0,0.00034902543911548,0,0.000825980467522419,0,0,0,0,0
"FF2_SS3",0.183958072066238,0.164113457129375,0.0988156072829166,0,0,0.0848912257048822,0,0.067489982602562,0,0.0442984315636161,0.0465350845285013,0.123780538796938,0.0264875222702822,0.0196458770013911,0,0.0206430021675034,0,0,0.0251518353525442,0.0130603043074131,0,0.0135579988966647,0,0,0.00737637842121006,0,0,0.0103738740440056,0.000166963985270191,0.00804816241832476,0.000719045491639795,0.00323533936764163,0.00569571005430484,0,0,0.00373937876116406,0,0.00325659081330259,0,0.00188308471417513,0.00451195565832909,0,0,0,0,0.00477188139600534,0.00806863324566365,0,0.00309357984848991,0,0,0,0,0,0,0,0,0,0,0.000435526453336373,0,0,0,0,0,0,0.00153261397232979,0,0.00066234168397911,0,0,0,0,0
"FF3_SS1",0.133468999656592,0.189472615880593,0.102334744941361,0,0,0.142566943321489,0,0.0635076168400103,0,0.0343595649539367,0.0466621432208597,0.0308652409715382,0.0355873679923933,0.0253816321685248,5.87360040999056e-05,0.0189470621853672,9.58276635299078e-06,0,0.0215651522887499,0.0247972653231456,0,0.0142595480119782,0,0,0.0335012572016449,0,0,0.0137813166188079,0.000196612950987659,0.0110134994909863,0.0019627437734334,0.00660458096554754,0.0116790030302652,0,0,0.00580292380831067,0,0.00221618835953362,0,0.00151383512229867,0.00603614449578059,0.00801415454391645,0,0,0,0.00479990757692407,0,0,0.00684538953035427,0,0,0,0,0,0,0,0,0,0,0.00144382348362418,0,0,0,0,0,0,0.000319949507594578,0,0.000379471455436812,0,0,0,0,0
"FF3_SS2",0.154113479561573,0.107933145556853,0.211094138946538,0,0,0.0900416972435906,0,0.126643633149809,0,0.0271249558100785,0.0534417398826879,0.0265941521685076,0.0529367977697606,0.0186456995276663,0,0.0164730089367711,0,0,0.0138892972421003,0.0124594533486648,0,0.0177627767785596,0,0,0.00601254311814066,0,0,0.0117677431668748,0.000318760585682128,0.0100933527246746,0.00204846355464592,0.00295805329447663,0.00878050736163841,0,0,0.00533416643171269,0,0.00212599857367949,0,0.00126336933842459,0.00479002929477978,0,0,0,0,0.00313202484269759,0.00713556791755809,0,0.00318316135836727,0,0,0,0,0,0,0,0,0,0,0.000425478115475488,0,0,0,0,0,0,0.000257343069406486,0,0.00121946132860483,0,0,0,0,0
"FF3_SS3",0.129082816674552,0.136144143061645,0.133885828333035,0,0,0.0921147874734518,0,0.0817708048361908,0,0.0556771171387671,0.0466022465850812,0.0291552830081396,0.0302946251394237,0.0463653005561212,8.77577885037297e-06,0.0426066065808328,0,0,0.016190875693274,0.0208538325013509,0,0.0198610179831944,0,0,0.0125138243549677,0,0,0.00864334827075316,0.000184291355857832,0.0153598373298173,0.00139419732914499,0.00631891838346864,0.00788863128962109,0,0,0.00308792264726697,0,0.00290247978334483,0,0.000995475145485176,0.00963040524858806,0.00718656898159125,0,0,0,0.0136260452528365,0,0,0.00217027800337084,0,0,0,0,0,0,0,0,0,0,0.0262776214420815,0,0,0,0,0,0,0.000201842913558578,0,0.000802408010776971,0,0,0,0,0
"FF4_SS1",0.144703450719739,0.143064381607731,0.13033568267399,0,0,0.0876108063366002,0,0.0767591790912167,0,0.0450718867898807,0.0743949252156847,0.0332100047514561,0.0476888631889947,0.0239233665481826,0,0.0227552510407612,0,0,0.0138125491947686,0.0242476594553387,0,0.0171937001270802,0,0,0.0159712074260008,0,0,0.0192543834086447,0.00254709292924107,0.00970854950340613,0.00816721304011003,0.00349068705211542,0.00683249165806236,0,0,0.00906361626109189,0,0.00143419577408077,0,0.00125117844202614,0.0136668393151813,0,0,0,0,0.00914236833993642,0.0095088830094624,0,0.00386145315128648,0,0,0,0,0,0,0,0,0,0,0.000371364956818184,0,0,0,0,0,0,0.000384480398939738,0,0.00057228859217137,0,0,0,0,0
