Date	9/10	10/10	12/10
19/01/2018	1445	751	1081
20/01/2018	1316	831	1264
21/01/2018	1437	1128	1468
22/01/2018	850	860	848
23/01/2018	787	572	204
24/01/2018	1158	980	1026
25/01/2018	1427	1140	1217
26/01/2018	1485	972	1144
27/01/2018	1499	1213	1425
28/01/2018	1500	1212	1478
29/01/2018	1481	915	1236
30/01/2018	1470	879	1144
31/01/2018	1486	984	1217
01/02/2018	1498	1308	1418
02/02/2018	1498	1453	1446
03/02/2018	1000	858	930
04/02/2018	1000	770	808
05/02/2018	1000	846	874
06/02/2018	1500	979	1242
07/02/2018	1500	1155	1282
08/02/2018	1500	1225	1283
09/02/2018	1500	1201	1083
10/02/2018	1500	1490	1470
11/02/2018	1500	869	1322
12/02/2018	1500	1101	862
13/02/2018	1700	1196	1638
14/02/2018	2000	1558	1708
15/02/2018	2000	2000	2000
16/02/2018	2000	2000	2000
17/02/2018	2000	2000	2000
